"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-06-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-06-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-06-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-06-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-01",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-02",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-03",,,"0.08",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-05",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-06",,,"0.02",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-07",,,"0.06",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-08",,,"0.05",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-09",,,"0.24",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-10",,,"0.08",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-11",,,"0.08",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-12",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-14",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-15",,,"0.22",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-16",,,"0.40",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-19",,,"0.28",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-21",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-22",,,"0.06",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-23",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-25",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-07-31",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-01",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-03",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-04",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-06",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-07",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-09",,,"0.03",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-10",,,"0.09",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-11",,,"0.13",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-12",,,"0.02",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-13",,,"0.07",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-14",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-16",,,"0.09",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-17",,,"0.04",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-18",,,"0.02",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-19",,,"0.06",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-21",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-23",,,"0.04",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-28",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-08-31",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-01",,,"0.02",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-03",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-04",,,"0.09",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-06",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-07",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-08",,,"0.01",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-09",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-12",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-19",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-21",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-23",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-29",,,"0.07",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-09-30",,,"0.02",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-01",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-03",,,"0.04",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-06",,,"0.03",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-07",,,"0.24",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-09",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-12",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-19",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-21",,,"0.35",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-22",,,"0.75",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-23",,,"0.65",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-28",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-10-31",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-01",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-03",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-05",,,"0.37","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-06",,,"0.18",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-07",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-09",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-11",,,"0.55","5.3",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-12",,,"0.00","0.1",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-17",,,"0.76","4.5",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-18",,,"0.20","1.5",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-19",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-21",,,"0.08","1.5",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-23",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-28","    2","0.12",,,"2.1",,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-11-30",,,"0.11","1.7",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-01",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-03",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-06",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-07",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-09",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-12",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-13",,,"0.17","2.1",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-15",,,"0.38","6.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-16",,,"0.40","4.2",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-19",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-21",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-23",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-26",,,"0.11",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2015-12-31",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-01",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-03",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-06",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-07",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-08",,,"0.15","1.2",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-09",,,"0.05","0.8",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-12",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-19",,,"0.01","0.1",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-21",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-23",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-26",,,"0.03","0.4",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-29",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-30",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-01-31",,,"0.09","1.2",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-01",,,"0.03","0.3",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-02",,,"0.58","9.5",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-03",,,"0.36","2.9",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-04",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-05",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-06",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-07",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-09",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-12",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-13",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-14",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-18",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-19",,,"0.00",,,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-20",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-21",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-23",,,"0.06","1.1",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-24",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-25",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-26",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-27",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-28",,,"0.00","0.0",,,,,,,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2016-02-29",,,"0.00","0.0",,,,,,,,,,,,,
